"Time [ms]","Moving1.Torque [kNewtonMeter]"
0,9.1651240048287E-006
1,0.136279919264052
2,0.203536525911548
3,0.172937095265281
4,0.124381200863819
5,0.125075718646805
6,0.144686645228569
7,0.152299636195159
8,0.151080883196603
9,0.139412827594023
10,0.127525994981574
11,0.11521243771643
12,0.108867451083171
13,0.109589674322189
14,0.114949495187988
15,0.12491798916372
16,0.134618296794995
17,0.137960770821364
18,0.137775548914357
19,0.131946003333147
20,0.127075155829472
21,0.121528656802886
22,0.118257191612875
23,0.118437490029013
24,0.120121478698684
25,0.125500166726993
26,0.130387642678115
30,-1.56891763503564
40,-2.20857753060437
50,-2.44741395093313
60,-2.53730371824193
70,-2.57784212938234
80,-2.59342753601898
90,-2.59910770665952
100,-2.6031861434141
110,-2.60089795138721
120,-2.60428735944883
130,-2.6044233360348
140,-2.60366922532209
150,-2.60509918347307
160,-2.60170337175392
170,-2.60463008715517
180,-2.60456894042848
190,-2.60373047583051
200,-2.60512559991058
210,-2.60171471112311
220,-2.60463501871812
230,-2.60457108809
240,-2.60373140128543
250,-2.60512600928493
260,-2.60171489143393
270,-2.60463509924683
280,-2.60457112407271
290,-2.6037314171664
300,-2.60512601648654
