"Time [ms]","InducedVoltage(PhaseA) []","InducedVoltage(PhaseB) []","InducedVoltage(PhaseC) []"
0,983.413470436585,722.445977344098,1129.97250529437
0.2,624.312713011389,338.515903228709,748.55032169997
0.4,265.211955586193,-45.4141708866795,367.128138105573
0.6,176.474601768051,-153.845352916819,254.824745784657
0.8,136.284522983142,-208.155732153826,190.299209765002
1,133.979782851076,-219.109456927946,163.008511107579
1.2,131.392069968037,-224.726722157643,135.170368028952
1.4,123.174297464818,-230.260106513996,101.84310491982
1.6,119.912732779218,-225.247751109083,74.0109072716293
1.8,121.564751379235,-209.892902618995,52.0227593522017
2,125.586759779339,-186.975725038669,33.6993871398598
2.2,129.46171807958,-159.324781189621,16.8867089973362
2.4,129.624839396378,-130.88631248528,-1.69975542035766
2.6,127.032684623402,-101.18028632705,-20.8258525602598
2.8,122.619816290999,-69.7654730738111,-39.3045450731666
3,116.121577473351,-37.4868103912979,-57.1933960367126
3.2,108.542814808598,-3.90846644725024,-73.2569271494338
3.4,99.6406725103463,30.0809259986985,-87.6517912075747
3.6,83.9821779286662,58.3829144002607,-105.669789681865
3.8,61.6329925144013,80.3400329161164,-127.211659020456
4,36.8526799486946,99.5189290386227,-148.081334660796
4.2,9.3522637082688,114.957259858483,-168.646450334728
4.4,-22.5549962186949,124.29857289266,-190.712527472043
4.6,-53.1223029776623,132.656095715982,-208.634380369732
4.8,-86.0913949744757,135.770228576139,-226.336458313242
5,-117.456457835439,137.123346618566,-239.988759422971
5.2,-145.314443358409,141.57645234634,-233.942559130029
5.4,-189.523141617089,128.767157080867,-228.643983816213
5.6,-267.964906806374,77.0212009700671,-256.687032456423
5.8,-340.630577140849,25.8248485960705,-278.916003493872
6,-406.516070981662,-24.2542848335486,-295.101789651185
6.2,-348.912332539406,42.617485161641,-189.817675100159
6.4,-353.476615266845,41.1472405336888,-149.10783362911
6.6,-336.300765011482,55.0018516639643,-90.1066527599567
6.8,-314.323258812995,67.2614233714598,-30.4391392362097
7,-287.52763362272,78.1080555043513,29.3006388744782
7.2,-260.617197235159,83.2307681461142,84.0314153135546
7.4,-263.991184098448,52.6491023473315,103.008893191375
7.59999999999999,-267.303049811403,17.1413339085388,116.173894819799
7.79999999999999,-260.004682640272,-12.1943445325648,133.908273624708
8,-244.773572412539,-37.4570104029065,153.350750468182
8.2,-220.094363692723,-56.5150774175172,175.847896313255
8.4,-195.163394612663,-77.9219739387353,192.297102299558
8.6,-171.311905006345,-102.256919901118,201.551416729931
8.8,-134.591313737232,-114.757878443734,217.75727868434
9,-95.6662399092672,-125.308009644429,230.677762838985
9.2,-55.3119151479214,-133.942371645446,239.970894567617
9.4,-11.30462821123,-137.612686177858,248.355843423544
9.6,28.633468526732,-143.315386845694,248.684937574755
9.8,65.7854775432765,-149.08713378748,242.802988975736
10,101.710612500669,-152.748947877841,232.908103994072
10.2,141.178223857583,-149.023920349333,224.400552265019
10.4,166.664161453892,-154.744642857738,200.54020307497
10.6,204.775167979982,-142.888306921365,188.590809884231
10.8,266.713869589678,-102.038323782691,200.409053463277
11,311.871215498541,-72.2764143102383,196.389451722527
11.2,380.982760969463,-12.707006254466,217.865246530853
11.4,347.781678797971,-48.9265412702874,139.720973570713
11.6,366.924658129194,-26.6156340504448,116.959979528979
11.8,369.636696671926,-14.5015714066793,81.6667083201178
12,335.006035016765,-33.3900097354495,13.8500857840906
12.2,304.948724197488,-41.8006745832788,-44.2022991249325
12.4,274.818286979507,-44.7903722607225,-96.6576354695323
12.6,271.283155820324,-16.2100513083803,-116.679765666837
12.8,270.374805789151,19.4206694397403,-128.028820938029
13,257.147020349216,46.606442243092,-145.506617473873
13.2,238.32631359708,71.415377794909,-162.3595860094
13.4,214.757035309366,94.1090545072293,-177.60292566901
13.6,188.282550711746,115.829692747591,-189.548649975378
13.8,148.735115274312,125.544093369253,-208.607325460493
14,104.184069063922,130.519320227284,-227.104045321217
14.2,62.2117258994653,137.557838906398,-237.969988673644
14.4,16.2794188025778,139.35111845599,-248.232414487622
14.6,-26.0726469628392,142.725586158403,-250.887894339744
14.8,-69.7590888612107,142.08345722651,-251.423598229424
15,-110.939765301602,140.689759536755,-246.62055989365
15.2,-144.735179203677,142.753630589701,-232.342097552648
15.4,-182.276405452735,136.556159413562,-220.421710614715
15.6,-253.629850420174,91.8035803634894,-241.466748975167
15.8,-319.822737993212,46.9733171951755,-257.311236475333
16,-400.423123347261,-17.8117050513256,-288.251253802612
16.2,-352.31606493352,39.5896254571385,-192.500095012713
16.4,-354.503439272918,40.4863779100725,-149.452362001544
16.6,-349.003331068089,42.7455612490076,-102.053145702847
16.8,-321.288722906996,60.7714463844708,-36.615606772275
17,-298.743176692109,67.4263977513668,18.947143452086
17.2,-265.982286669925,78.4036204347152,79.5280739925472
17.4,-264.390915941314,52.8057470502118,103.473817740774
17.6,-268.99712197626,16.0156026383829,115.349789493188
17.8,-262.008323848472,-13.612275491048,132.778306821531
18,-247.740158031274,-39.8092123573761,151.291576982689
18.2,-224.19630897656,-59.9958476709428,172.697588764104
18.4,-198.247010202006,-80.3601335441816,190.189575862057
18.6,-173.977484808838,-104.290688532325,199.870903282254
18.8,-136.640557102073,-116.176929012823,216.697503907712
19,-97.1638033460881,-126.185653366473,230.15280115715
19.2,-56.7208166832905,-134.730126856271,239.547451148854
19.4,-12.5856550183578,-138.2741880321,248.045071699813
19.6,27.980578214849,-143.368010401105,248.971880481274
19.8,66.3672407707039,-147.921259674903,244.318072480132
20,103.305208290533,-150.61255803787,235.393982088062
20.2,142.772551399001,-146.91800140753,226.866617789715
20.4,168.108655923561,-152.795231660003,202.846848182163
20.6,211.640902878884,-135.592541669244,196.288659361816
20.8,274.82797931366,-93.5286980121151,209.314415181303
21,324.461781933686,-59.3530086776417,209.697495063067
21.2,390.721753254281,-2.683870495757,228.246563572722
21.4,342.47476070879,-53.9019193690893,135.049065646496
21.6,371.555851594609,-21.6915567395301,122.146115916239
21.8,357.720270841321,-26.0447821443389,70.3861028236255
22,328.333320194491,-39.6911117316896,7.82143967146848
22.2,296.042931432009,-50.2859454167776,-52.4056597446726
22.4,270.945338116081,-48.2305157788757,-99.8293515907433
22.6,271.199997822506,-15.8588715340977,-116.072090766633
22.8,268.873491795837,18.3781658124858,-128.830015127192
23,255.332340904211,45.2540776398254,-146.627666865695
23.2,236.263619863419,69.8342040435036,-163.704044133137
23.4,211.073514816242,90.9185934645988,-180.544555073227
23.6,185.405693910721,113.455616836045,-191.656453925699
23.8,145.906633546234,123.21704251805,-210.654309524566
24,103.091436722923,129.908859652385,-227.431527508815
24.2,61.3268725304666,137.158164086658,-238.091190543918
24.4,15.7302913258861,139.269968843853,-248.036414540449
24.6,-26.5229731098271,142.723762817009,-250.601725606806
24.8,-68.9084636963211,143.369894398166,-249.866548383876
25,-109.777042141183,142.257037906278,-244.768158861104
25.2,-144.685420740206,143.20214016957,-231.612822541705
25.4,-178.681720353194,140.516557296135,-216.1899498472
25.6,-244.435223814992,101.309568436572,-231.669027341907
25.8,-308.739426002264,58.3135009302944,-245.68006520735
26,-388.398813678488,-5.5844881246267,-275.739915237159
26.2,-360.193533474674,31.9840559124297,-199.878668508293
26.4,-352.899980664247,42.3331588447159,-147.402040104904
26.6,-356.899638919613,35.144482135105,-109.443009887551
26.7999999999999,-327.001193925317,55.3806501411742,-41.8060739712761
26.9999999999999,-305.656390016989,60.8578968347236,12.6045660183444
27.1999999999999,-269.95713476355,74.7921456349795,76.1223711166262
27.3999999999999,-264.787086611652,52.7732713272387,103.643071641418
27.5999999999999,-269.810130262844,15.5878336918687,115.116065669335
27.7999999999999,-263.305141320162,-14.5214940825532,132.054234486685
27.9999999999999,-249.25038117421,-40.9116673303046,150.377993838161
28.1999999999999,-227.013539656487,-62.389126872167,170.498084509081
28.3999999999999,-200.506074497511,-82.2023501164003,188.554829300155
28.5999999999999,-176.087704740432,-105.979182484847,198.392385211716
28.7999999999999,-137.910878719877,-117.039604618867,216.052420885525
28.9999999999999,-98.1618868200357,-126.769786981327,229.779290605183
29.1999999999999,-57.8315451338346,-135.434023975739,239.039691455574
29.3999999999999,-13.4040835999572,-138.700629131022,247.844462435218
29.5999999999999,27.6094551388628,-143.343129231106,249.205129156352
29.7999999999999,66.6278364385953,-147.283846702324,245.161986626392
30,104.312901639615,-149.251072090006,236.971326017761
