"Time [ms]","Moving1.Torque [NewtonMeter]"
0,-0.0137935679263591
0.2,5.96430350929374
0.4,9.36072873159355
0.6,15.3161559051564
0.8,22.2831861635434
1,34.7144920148502
1.2,54.2892931652538
1.4,79.2133665178128
1.6,107.37025223328
1.8,136.958926551032
2,166.188400501765
2.2,192.861299361301
2.4,214.809038659919
2.6,231.907350676139
2.8,244.307653617669
3,251.643795601171
3.2,253.247563632279
3.4,249.671478459488
3.6,243.146992144286
3.8,233.56709590225
4,222.156190376671
4.2,210.366424840747
4.4,201.182582819179
4.6,196.608911547448
4.8,197.14333917867
5,203.648798942018
5.2,215.016593315982
5.4,231.276959069606
5.6,252.111135427024
5.8,271.580686474809
6,287.888377597317
6.2,300.011277600825
6.4,310.279587818289
6.6,316.555691765751
6.8,320.389781091531
7,322.736717819059
7.2,323.48389800339
7.4,320.294603292293
7.59999999999999,313.459984884403
7.79999999999999,305.883247398638
8,297.691879290941
8.2,288.66184470233
8.4,278.966942610429
8.6,271.10862020221
8.8,263.917195829409
9,257.199499512326
9.2,252.020848202828
9.4,249.654334394255
9.6,251.012220255032
9.8,254.481222517188
10,260.35956038631
10.2,269.97490021326
10.4,282.216972291538
10.6,295.992850924399
10.8,310.954772113014
11,323.07743689578
11.2,331.837251727389
11.4,336.252433081603
11.6,338.025778739779
11.8,337.939624758055
12,335.964182563191
12.2,331.316455239537
12.4,322.647895407044
12.6,309.987590700961
12.8,296.00505438507
13,281.272156461262
13.2,265.715303417649
13.4,250.627827300343
13.6,238.323722774628
13.8,227.488270685232
14,216.834347730941
14.2,208.37579719698
14.4,203.626085082745
14.6,203.366498760083
14.8,207.019354748676
15,214.34515278874
15.2,225.753294186797
15.4,240.692683828248
15.6,260.577112802058
15.8,279.087382506927
16,294.850995725831
16.2,306.241509757354
16.4,315.342954812894
16.6,321.304025097122
16.8,324.018575116473
17,325.916203017564
17.2,325.432371639487
17.4,321.234669622793
17.6,313.24886679976
17.8,304.266568302663
18,294.954209447232
18.2,284.438182078842
18.4,273.80291265172
18.6,264.964663887048
18.8,257.128350656721
19,249.493997698485
19.2,243.641012786438
19.4,240.876540433022
19.6,241.602700705558
19.8,245.278769965675
20,251.253418178141
20.2,261.381901932615
20.4,273.959948040763
20.6,288.825973185473
20.8,304.600366095891
21,317.195623381575
21.2,326.779610897936
21.4,331.701459185377
21.6,334.7718279494
21.8,335.067746898297
22,333.76651398543
22.2,329.93402898647
22.4,322.03629005702
22.6,310.340575329446
22.8,296.97961782578
23,283.551831160605
23.2,268.985181226377
23.4,254.761566488724
23.6,243.230508394563
23.8,232.792452943464
24,223.056274797045
24.2,214.916861922906
24.4,210.8511940943
24.6,210.750297714678
24.8,214.368651395959
25,221.470656227119
25.2,232.608413964549
25.4,247.238518149882
25.6,265.979712362918
25.8,284.200287536819
26,299.300838574935
26.2,310.352724048224
26.4,318.631556356949
26.6,324.133129060152
26.7999999999999,326.432313982088
26.9999999999999,327.534273862269
27.1999999999999,326.604199836936
27.3999999999999,321.570598341381
27.5999999999999,312.937689703582
27.7999999999999,303.118803190725
27.9999999999999,292.815733493444
28.1999999999999,281.64731681413
28.3999999999999,270.209176481808
28.5999999999999,261.017244229941
28.7999999999999,252.504745268041
28.9999999999999,244.545556584893
29.1999999999999,238.178837518308
29.3999999999999,235.03067245575
29.5999999999999,235.80675588482
29.7999999999999,239.289124215506
30,245.518648104991
