"Time [ms]","InputVoltage(PhaseA) [V]","InputVoltage(PhaseB) [V]","InputVoltage(PhaseC) [V]"
0,45.3968911823872,-226.792398718744,181.395507536357
0.2,63.2033754794131,-241.194282207179,179.360682106692
0.4,80.0131047892521,-251.792387782732,174.497231575343
0.6,95.5609796390322,-258.419576989482,166.881855462492
0.8,109.601800754513,-260.971335094751,156.634652798659
1,121.914135999113,-259.407419348879,143.917228091252
1.2,132.303812490984,-253.752493637421,128.930142724941
1.4,140.60697882535,-244.09573951694,111.909751988818
1.6,146.69268910904,-230.589449768585,93.1244776122918
1.8,150.464968055446,-213.446626649958,72.8705745940688
2,151.864324572128,-192.937622722268,51.4674590838501
2.2,150.868689970881,-169.385877228942,29.2526709988398
2.4,147.493766004125,-143.162815265542,6.5765508176139
2.6,141.792777238898,-114.681990184129,-16.2032854985099
2.8,133.855631673632,-84.3925616098579,-38.7275863228118
3,123.807502835315,-52.7722119253715,-60.6411299759296
3.2,111.806855718189,-20.319612934274,-81.5983267839413
3.4,98.042947696136,12.4534384911042,-101.268669233969
3.6,82.7328438208277,45.0300917521156,-119.34194427509
3.8,66.1179935761966,76.8965935664879,-135.533125563465
4,48.460423075838,107.550390164487,-149.586868498046
4.2,30.0386027546721,136.508052862077,-161.281537157468
4.4,11.1430557238341,163.312902020051,-170.432699630931
4.6,-7.92822395233775,187.542209154754,-176.896036619603
4.8,-26.8744708007101,208.81386361879,-180.56961743818
5,-45.3968911905347,226.792398714195,-181.395507522679
5.2,-74.5758801174393,234.845092747586,-160.269212630147
5.4,-102.578762873568,239.19413937414,-136.615376500571
5.6,-128.963917261598,239.770951535111,-110.807034273512
5.8,-153.315233635103,236.566432558149,-83.251198923046
6,-175.248677188101,229.631119621808,-54.3824424337077
6.2,-194.418344413357,219.07438675405,-24.6560423406935
6.4,-210.521918207325,205.062719938486,5.4591982688394
6.6,-223.305435591465,187.81709153096,35.4883440605055
6.8,-232.567292860127,167.609475393499,64.9578174666285
7,-238.161424991418,144.758557704035,93.4028672873833
7.2,-239.999609179856,119.624711085008,120.374898094848
7.4,-238.052856162709,92.6043113118314,145.448544850878
7.59999999999999,-232.351867397994,64.1234862301331,168.228381167861
7.79999999999999,-222.986550884134,34.6313954650717,188.355155419063
8,-210.104603257123,4.59314690573317,205.51145635139
8.2,-193.909180526341,-25.5175383241217,219.426718850463
8.4,-174.655694182929,-55.2257967311666,229.881490914095
8.6,-152.647783207997,-84.0631113334692,236.710894541466
8.8,-128.23252550451,-111.574700453174,239.807225957684
9,-101.794964271418,-137.326689895238,239.121654166656
9.2,-73.7520356424028,-160.912955402665,234.664991045068
9.4,-44.545993353976,-181.961527478652,226.507520832628
9.6,-14.6374341398704,-200.140457567753,214.777891707623
9.8,15.5019661546002,-215.163053082896,199.661086928296
10,45.3968911823871,-226.792398718744,181.395507536357
10.2,74.5758801174397,-234.845092747586,160.269212630146
10.4,102.578762873569,-239.19413937414,136.615376500571
10.6,128.963917261599,-239.770951535111,110.807034273512
10.8,153.315233635103,-236.566432558149,83.2511989230455
11,175.248677188101,-229.631119621808,54.3824424337071
11.2,194.418344413357,-219.07438675405,24.6560423406925
11.4,210.521918207326,-205.062719938485,-5.45919826884044
11.6,223.305435591466,-187.817091530959,-35.4883440605067
11.8,232.567292860128,-167.609475393498,-64.9578174666297
12,238.161424991419,-144.758557704034,-93.4028672873846
12.2,239.999609179856,-119.624711085006,-120.374898094849
12.4,238.052856162709,-92.6043113118295,-145.448544850879
12.6,232.351867397993,-64.123486230131,-168.228381167862
12.8,222.986550884134,-34.6313954650697,-188.355155419064
13,210.104603257122,-4.59314690573097,-205.511456351391
13.2,193.909180526339,25.5175383241241,-219.426718850463
13.4,174.655694182927,55.2257967311688,-229.881490914096
13.6,152.647783207995,84.0631113334715,-236.710894541467
13.8,128.232525504508,111.574700453176,-239.807225957684
14,101.794964271416,137.32668989524,-239.121654166656
14.2,73.7520356424006,160.912955402667,-234.664991045067
14.4,44.545993353974,181.961527478653,-226.507520832627
14.6,14.6374341398681,200.140457567754,-214.777891707622
14.8,-15.5019661546023,215.163053082897,-199.661086928295
15,-45.3968911823894,226.792398718745,-181.395507536356
15.2,-74.5758801174418,234.845092747586,-160.269212630144
15.4,-102.578762873571,239.19413937414,-136.615376500569
15.6,-128.963917261601,239.77095153511,-110.80703427351
15.8,-153.315233635105,236.566432558148,-83.2511989230435
16,-175.248677188102,229.631119621808,-54.3824424337052
16.2,-194.418344413358,219.074386754049,-24.656042340691
16.4,-210.521918207326,205.062719938484,5.45919826884168
16.6,-223.305435591466,187.817091530959,35.4883440605078
16.8,-232.567292860128,167.609475393497,64.9578174666305
17,-238.161424991419,144.758557704033,93.4028672873852
17.2,-239.999609179856,119.624711085006,120.374898094849
17.4,-238.052856162709,92.6043113118295,145.448544850879
17.6,-232.351867397993,64.1234862301314,168.228381167862
17.8,-222.986550884134,34.6313954650701,188.355155419064
18,-210.104603257123,4.59314690573184,205.511456351391
18.2,-193.90918052634,-25.5175383241228,219.426718850463
18.4,-174.655694182928,-55.2257967311675,229.881490914095
18.6,-152.647783207997,-84.0631113334698,236.710894541466
18.8,-128.232525504509,-111.574700453175,239.807225957684
19,-101.794964271418,-137.326689895238,239.121654166656
19.2,-73.752035642403,-160.912955402665,234.664991045068
19.4,-44.5459933539765,-181.961527478652,226.507520832628
19.6,-14.6374341398711,-200.140457567752,214.777891707624
19.8,15.5019661545993,-215.163053082896,199.661086928296
20,45.396891182386,-226.792398718744,181.395507536358
20.2,74.5758801174382,-234.845092747586,160.269212630147
20.4,102.578762873567,-239.194139374139,136.615376500573
20.6,128.963917261597,-239.770951535111,110.807034273514
20.8,153.315233635102,-236.566432558149,83.2511989230477
21,175.2486771881,-229.631119621809,54.3824424337096
21.2,194.418344413356,-219.074386754051,24.6560423406955
21.4,210.521918207324,-205.062719938487,-5.45919826883718
21.6,223.305435591465,-187.817091530961,-35.4883440605033
21.8,232.567292860127,-167.6094753935,-64.9578174666261
22,238.161424991418,-144.758557704037,-93.4028672873811
22.2,239.999609179856,-119.62471108501,-120.374898094846
22.4,238.05285616271,-92.6043113118339,-145.448544850876
22.6,232.351867397995,-64.1234862301359,-168.228381167859
22.8,222.986550884136,-34.6313954650748,-188.355155419061
23,210.104603257125,-4.59314690573656,-205.511456351388
23.2,193.909180526343,25.5175383241181,-219.426718850461
23.4,174.655694182931,55.2257967311629,-229.881490914094
23.6,152.647783208,84.0631113334654,-236.710894541466
23.8,128.232525504513,111.574700453171,-239.807225957684
24,101.794964271423,137.326689895234,-239.121654166657
24.2,73.7520356424076,160.912955402661,-234.664991045069
24.4,44.5459933539811,181.961527478648,-226.507520832629
24.6,14.6374341398759,200.14045756775,-214.777891707625
24.8,-15.5019661545946,215.163053082894,-199.661086928299
25,-45.3968911823813,226.792398718742,-181.395507536361
25.2,-74.5758801174337,234.845092747585,-160.269212630151
25.4,-102.578762873563,239.194139374139,-136.615376500576
25.6,-128.963917261593,239.770951535111,-110.807034273518
25.8,-153.315233635098,236.56643255815,-83.2511989230517
26,-175.248677188096,229.63111962181,-54.3824424337138
26.2,-194.418344413353,219.074386754053,-24.6560423406997
26.4,-210.521918207322,205.062719938489,5.45919826883289
26.6,-223.305435591463,187.817091530964,35.4883440604991
26.7999999999999,-232.567292860126,167.609475393504,64.957817466622
26.9999999999999,-238.161424991418,144.758557704041,93.4028672873771
27.1999999999999,-239.999609179856,119.624711085014,120.374898094842
27.3999999999999,-238.05285616271,92.6043113118379,145.448544850873
27.5999999999999,-232.351867397996,64.12348623014,168.228381167856
27.7999999999999,-222.986550884137,34.6313954650791,188.355155419058
27.9999999999999,-210.104603257127,4.59314690574085,205.511456351386
28.1999999999999,-193.909180526346,-25.5175383241138,219.426718850459
28.3999999999999,-174.655694182934,-55.2257967311587,229.881490914093
28.5999999999999,-152.647783208003,-84.063111333461,236.710894541465
28.7999999999999,-128.232525504517,-111.574700453166,239.807225957684
28.9999999999999,-101.794964271427,-137.32668989523,239.121654166657
29.1999999999999,-73.7520356424117,-160.912955402658,234.66499104507
29.3999999999999,-44.5459933539854,-181.961527478645,226.507520832631
29.5999999999999,-14.6374341398801,-200.140457567747,214.777891707627
29.7999999999999,15.5019661545903,-215.163053082891,199.661086928301
30,45.3968911823872,-226.792398718744,181.395507536357
