"Time [ms]","InducedVoltage(PhaseB) [V]","InputVoltage(PhaseB) [V]","Current(PhaseB) [A]"
0,-215.096625755079,-226.792398718744,0
0.2,-228.70145881732,-242.431389680869,-14.5452286934704
0.4,-242.306291879562,-254.24709280624,-27.9919061704154
0.6,-249.913777180822,-262.05316739822,-40.4855517527462
0.8,-254.128987394386,-265.726506997375,-51.8228989643961
1,-254.319797959343,-265.209180843887,-61.8055724207428
1.2,-251.009276432952,-260.509347480237,-70.2793004482277
1.4,-243.796664395783,-251.701126086121,-77.1357124063671
1.6,-232.618603356515,-238.923427574704,-82.2055743530122
1.8,-217.573446374691,-222.377763884542,-85.494316409828
2,-198.820000070566,-202.325070015933,-86.9434284015496
2.2,-176.553642553219,-179.081588930087,-86.4956601046686
2.4,-151.285219956899,-153.013884208711,-84.2734479856071
2.6,-124.028236686019,-124.533059127353,-80.2513531475326
2.8,-94.8787083077231,-94.0882733111689,-74.5594677015236
3,-65.082975788176,-62.1596592193107,-67.290165797741
3.2,-35.5331231833456,-29.2507501692352,-58.574556115937
3.4,-4.74096866356077,4.11946068451108,-48.493401268186
3.6,26.4677229754631,37.4247051823701,-37.1458409259159
3.8,57.2908321308538,70.1397397230258,-24.7445431506993
4,87.6191938074289,101.748628668763,-11.4380775124747
4.2,116.39243347207,131.752880958676,2.48765382871636
4.4,143.125380847347,159.679311610489,16.8088044067256
4.6,167.4254183789,185.087504130388,31.4561111857805
4.8,188.459409890269,207.576756144221,46.0082253478292
5,206.051224574609,226.792398713309,60.2402586283432
5.2,216.89962813009,234.845092747586,73.7039307992336
5.4,221.510443076496,239.19413937414,86.0343503136075
5.6,222.72575445965,239.770951535111,97.0239500618407
5.8,219.695345396583,236.566432558149,106.411130224762
6,213.24244076578,229.631119621809,114.181061236877
6.2,202.958231516225,219.07438675405,120.044494745663
6.4,189.271546991864,205.062719938486,124.031196120913
6.6,171.710940057523,187.81709153096,126.360942110044
6.8,151.61279878959,167.609475393499,126.993868106467
7,130.018096770695,144.758557704035,125.813521470781
7.2,106.489003164401,119.624711085008,122.693909717895
7.4,81.069007843754,92.6043113118314,117.661500901982
7.59999999999999,55.481734691176,64.1234862301331,110.62251432282
7.79999999999999,30.2072771127529,34.6313954650716,101.615843385355
8,6.85084472058617,4.59314690573319,90.977826647409
8.2,-16.4074235857498,-25.5175383241217,78.8536852757812
8.4,-40.8856098070451,-55.2257967311666,65.4975165648928
8.6,-66.9183622046476,-84.0631113334692,51.1253243607709
8.8,-93.6112454990795,-111.574700453174,36.2829117822645
9,-119.908759260867,-137.326689895238,21.2141714477196
9.2,-143.81776273805,-160.912955402665,5.83683510957619
9.4,-166.206591567429,-181.961527478652,-9.73347689368977
9.6,-187.73942991242,-200.140457567753,-25.3996325503147
9.8,-208.133780399455,-215.163053082896,-41.0141213439394
10,-223.457023960709,-226.792398718744,-56.2826434172201
10.2,-233.31764677339,-234.845092747586,-70.8239939959111
10.4,-237.368611378912,-239.19413937414,-84.1414897231461
10.6,-235.514663157248,-239.77095153511,-96.0275171239749
10.8,-227.201886733209,-236.566432558149,-105.963342174405
11,-216.638891170145,-229.631119621808,-113.907758145715
11.2,-203.809735557776,-219.07438675405,-119.861393811228
11.4,-186.772768478074,-205.062719938485,-123.811563203794
11.6,-165.417134655684,-187.817091530959,-125.969524126979
11.8,-143.054291776215,-167.609475393498,-126.132453075943
12,-120.877698979047,-144.758557704034,-124.426032033979
12.2,-99.7516015707806,-119.624711085006,-120.779575138152
12.4,-79.7229395542359,-92.6043113118295,-115.387491882502
12.6,-56.3799597136849,-64.123486230131,-108.239453220683
12.8,-30.7253460249673,-34.6313954650697,-99.1244228479803
13,-5.05653657156491,-4.59314690573097,-88.184021043239
13.2,20.6731280518399,25.5175383241241,-75.5982429898077
13.4,45.9103754300594,55.2257967311688,-61.7662971708905
13.6,71.8985825721957,84.0631113334715,-47.1522435717845
13.8,99.1872818145867,111.574700453176,-32.150500710108
14,124.85606308006,137.32668989524,-16.9233564624609
14.2,147.583774943424,160.912955402667,-1.39492845806161
14.4,167.827388708261,181.961527478653,14.2178853366816
14.6,185.661414758935,200.140457567754,29.7049732394139
14.8,200.320214558879,215.163053082897,44.9343256523453
15,211.982169533827,226.792398718745,59.5100450327023
15.2,219.913217588589,234.845092747586,73.1635576677672
15.4,223.721049925303,239.19413937414,85.6170060497703
15.6,223.590988861777,239.77095153511,96.6677037681917
15.8,220.792509022036,236.566432558148,106.149775341328
16,213.618127913883,229.631119621808,113.872902372025
16.2,202.944591784681,219.074386754049,119.772191271774
16.4,188.554799062602,205.062719938484,123.73808889751
16.6,170.223395314304,187.817091530959,125.990195016698
16.8,149.86498256336,167.609475393497,126.576992666759
17,129.18550799939,144.758557704033,125.305010247262
17.2,106.303393155623,119.624711085006,122.180990719388
17.4,81.4250569559416,92.6043113118296,117.091896372531
17.6,55.7844311495606,64.1234862301314,110.0417277486
17.8,30.2059990373413,34.6313954650701,100.991768031024
18,5.65437102751254,4.59314690573184,90.161689637095
18.2,-17.6510002493668,-25.5175383241228,77.9351095823158
18.4,-42.1571862325651,-55.2257967311675,64.4431090093206
18.6,-68.3198241614685,-84.0631113334698,50.0463042853421
18.8,-95.6406596302678,-111.574700453175,35.1492087799327
19,-121.369262128125,-137.326689895238,20.0383202759498
19.2,-144.865444629507,-160.912955402665,4.65979647143863
19.4,-166.451487059669,-181.961527478652,-10.9431009327159
19.6,-186.618302754134,-200.140457567752,-26.5498260853264
19.8,-205.914770124614,-215.163053082896,-42.0573703606235
20,-220.975476292838,-226.792398718744,-57.1768409538004
20.2,-230.267958295425,-234.845092747586,-71.5183859022548
20.4,-233.778226959234,-239.194139374139,-84.6331900406959
20.6,-230.86130899688,-239.770951535111,-96.0880949717385
20.8,-224.514266233022,-236.566432558149,-105.890910156128
21,-215.781674945703,-229.631119621809,-113.79330106945
21.2,-203.447197045886,-219.074386754051,-119.697059908184
21.4,-187.019048016273,-205.062719938487,-123.659580052383
21.6,-166.368893192534,-187.817091530961,-125.818882386757
21.8,-144.522520128208,-167.6094753935,-126.11397918306
22,-122.929155184618,-144.758557704037,-124.438207940471
22.2,-102.383321395471,-119.62471108501,-121.006817708356
22.4,-81.1132661229572,-92.6043113118339,-115.774450021772
22.6,-56.3299592701064,-64.1234862301359,-108.632753323662
22.8,-30.6402171995199,-34.6313954650748,-99.5597446950421
23,-4.95958584431327,-4.59314690573657,-88.5987517498739
23.2,20.4287317034979,25.5175383241181,-76.0485135911367
23.4,45.2343199700317,55.2257967311629,-62.2920510222266
23.6,70.9656315370113,84.0631113334654,-47.7378519315054
23.8,98.3720959922699,111.574700453171,-32.7763642575841
24,124.67119878785,137.326689895234,-17.5458429036758
24.2,147.02055872601,160.912955402661,-2.04990429711023
24.4,167.583289504372,181.961527478649,13.5631972593175
24.6,185.786985399482,200.14045756775,29.101640821668
24.8,201.165406167244,215.163053082894,44.3350778698282
25,213.958545268492,226.792398718742,59.0533213482022
25.2,222.307259241781,234.845092747585,72.8524522662219
25.4,225.151829846356,239.194139374139,85.3953296976188
25.6,224.635087620346,239.770951535111,96.5047371237464
25.8,221.297844590906,236.56643255815,106.02392986389
26,213.919993356542,229.63111962181,113.79285522434
26.2,202.978879803485,219.074386754053,119.660983445302
26.4,188.133188467818,205.062719938489,123.637563570105
26.6,169.371461961903,187.817091530964,125.839054947447
26.7999999999999,148.636638662292,167.609475393504,126.357911521812
26.9999999999999,127.963421129859,144.758557704041,125.064629716793
27.1999999999999,106.278149088488,119.624711085014,121.860864832433
27.3999999999999,81.4364481098301,92.6043113118379,116.774337406976
27.5999999999999,55.9646984634102,64.1234862301401,109.692549119568
27.7999999999999,30.3122403320666,34.6313954650791,100.649421445958
27.9999999999999,5.08504728067627,4.59314690574087,89.7522717682184
28.1999999999999,-18.2777336149756,-25.5175383241138,77.414615147447
28.3999999999999,-42.9090106338467,-55.2257967311587,63.8868314227091
28.5999999999999,-69.0500537385508,-84.063111333461,49.4463081862976
28.7999999999999,-96.3170579947295,-111.574700453166,34.5577801708704
28.9999999999999,-122.475578264792,-137.32668989523,19.3924151768017
29.1999999999999,-145.372030835627,-160.912955402658,3.97702801295473
29.3999999999999,-166.65921785118,-181.961527478645,-11.5539012669565
29.5999999999999,-186.390778721275,-200.140457567747,-27.1994842328329
29.7999999999999,-204.549439055409,-215.163053082892,-42.6372402558388
30,-219.395207267205,-226.792398718744,-57.6616866598925
